,code,name,lot_size,stock_type,stock_child_type,owner_stock_code,listing_date,stockid
201,US.ANH,安沃思抵押資產公司,1,STOCK,0,,1969-12-31,202943
202,US.ANH-A,ANWORTH MORTGAGE ASSET CP,1,STOCK,0,,1969-12-31,203294
203,US.ANH-B,ANWORTH MORTGAGE ASSET CP,1,STOCK,0,,1969-12-31,206056
204,US.ANH-C,Anworth Mortgage Asset  Corporation 7.625% Series C Cumulative ,1,STOCK,0,,1969-12-31,75213467500180
205,US.ANTM,"Anthem, Inc.",1,STOCK,0,,1969-12-31,210603
206,US.ANTX,"Anthem, Inc.",1,STOCK,0,,1969-12-31,210998
207,US.ANW,"Aegean Marine Petroleum Network, Inc.",1,STOCK,0,,1969-12-31,201582
208,US.AOD,Aberdeen Total Dynamic Dividend Fund,1,STOCK,0,,1969-12-31,207212
209,US.AOI,第一聯盟國際公司,1,STOCK,0,,1969-12-31,204891
210,US.AON,怡安保險,1,STOCK,0,,1969-12-31,203267
211,US.AOS,A.O.史密斯,1,STOCK,0,,1969-12-31,201813
212,US.AP,安博科-匹茲堡,1,STOCK,0,,1969-12-31,202164
213,US.APA,阿帕契,1,STOCK,0,,1969-12-31,201996
214,US.APAM,"Artisan Partners Asset Management, Inc.",1,STOCK,0,,1969-12-31,206871
215,US.APB,亞太基金,1,STOCK,0,,1969-12-31,202651
216,US.APC,阿納達科石油,1,STOCK,0,,1969-12-31,201599
217,US.APD,Air Products & Chemicals Inc,1,STOCK,0,,1969-12-31,205441
218,US.APF,摩根斯坦利亞太基金,1,STOCK,0,,1969-12-31,201857
219,US.APH,安諾電子,1,STOCK,0,,1969-12-31,202214
220,US.APHB,AmpliPhi Biosciences Corp.,1,STOCK,0,,1969-12-31,211308
221,US.APLE,"Apple Hospitality REIT, Inc.",1,STOCK,0,,1969-12-31,211002
222,US.APO,阿波羅全球管理,1,STOCK,0,,1969-12-31,206779
223,US.APO-A,"Apollo Global Management, LLC 6.375% Series A Preferred Shares",1,STOCK,0,,1969-12-31,75213467502374
224,US.APO-B,"Apollo Global Management, LLC 6.375% Series B Preferred Shares",1,STOCK,0,,1969-12-31,75664439068880
225,US.APRN,"Blue Apron Holdings, Inc.",1,STOCK,0,,2017-06-28,74457553256950
226,US.APT,Alpha Pro Tech Ltd.,1,STOCK,0,,1969-12-31,208963
227,US.APTS,"Preferred Apartment Communities, Inc.",1,STOCK,0,,1969-12-31,208351
228,US.APTV,Aptiv Plc,1,STOCK,0,,1969-12-31,75179107763934
229,US.APTV*,Aptiv PLC,1,STOCK,0,,1969-12-31,75118978221537
230,US.APU,AmeriGas Partners LP,1,STOCK,0,,1969-12-31,205823
231,US.APY,Apergy Corp.,1,STOCK,0,,1969-12-31,75844827695418
232,US.APY*,Apergy Corporation,1,STOCK,0,,1969-12-31,75793288087836
233,US.AQ,Aquantia,1,STOCK,0,,2017-11-02,74998719130743
234,US.AQN,Algonquin Power & Utilities Corp,1,STOCK,0,,2016-11-28,73585674894759
235,US.AQUA,Evoqua Water Technologies Corp.,1,STOCK,0,,2017-11-01,74977244300641
236,US.AR,Antero Resources Corp,1,STOCK,0,,1969-12-31,206683
237,US.ARA,"AMERICAN RENAL ASSOCIATES HOLDINGS, INC.",1,STOCK,0,,2016-04-20,211790
238,US.ARC,美國圖文公司,1,STOCK,0,,1969-12-31,207806
239,US.ARCH,阿齊煤炭,1,STOCK,0,,2016-10-04,212196
240,US.ARCO,"Arcos Dorados Holdings, Inc.",1,STOCK,0,,1969-12-31,206969
241,US.ARCX,Arc Logistics Partners LP,1,STOCK,0,,1969-12-31,75333726576697
242,US.ARD,Ardagh Group SA,1,STOCK,0,,2017-03-14,74006581681628
243,US.ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",1,STOCK,0,,1969-12-31,207788
244,US.ARE,亞歷山大房地產,1,STOCK,0,,1969-12-31,202102
245,US.ARE-D,"Alexandria Real Estate Equities, Inc. 7.00% Series D Cumulative",1,STOCK,0,,1969-12-31,75213467502360
246,US.ARES,Ares Management LP,1,STOCK,0,,1969-12-31,210086
247,US.ARES-A,Ares Management L.P. 7.00% Series A Preferred Units Representin,1,STOCK,0,,1969-12-31,75213467502363
248,US.ARGD,"Argo Group US, Inc.",1,STOCK,0,,1969-12-31,75836237760820
249,US.ARGO,Argo Group International Holdings Ltd.,1,STOCK,0,,1969-12-31,75836237760821
250,US.ARH-C.CL,Arch Capital Group Ltd. 6.75% PFD sh S C,1,STOCK,0,,1969-12-31,75213467502439
251,US.ARI,阿波羅商業房地產,1,STOCK,0,,1969-12-31,202372
252,US.ARI-C,Apollo Commercial Real Estate Finance 8.00% Series C Cumulative,1,STOCK,0,,1969-12-31,75213467500553
253,US.ARL,美國房地產投資,1,STOCK,0,,1969-12-31,206409
254,US.ARLO,Arlo Technologies,1,STOCK,0,,2018-08-02,76171245210151
255,US.ARMK,Aramark,1,STOCK,0,,1969-12-31,205510
256,US.ARNC,美國鋁業,1,STOCK,0,,2016-10-31,73465415810394
257,US.AROC,"Archrock, Inc.",1,STOCK,0,,1969-12-31,211476
258,US.ARR,ARMOUR房地產資金信托,1,STOCK,0,,1969-12-31,207048
259,US.ARR-A,Armour Residential REIT INC Preferred Series A,1,STOCK,0,,1969-12-31,75213467500185
260,US.ARR-B,"ARMOUR Residential REIT, Inc. Preferred Series B",1,STOCK,0,,1969-12-31,75213467500186
261,US.ARU,Ares Capital Corporation,1,STOCK,0,,1969-12-31,208118
262,US.ARU.L,ARU.L,1,STOCK,0,,1969-12-31,74341589139711
263,US.ARW,艾睿,1,STOCK,0,,1969-12-31,202572
264,US.ASA,ASA百慕大基金,1,STOCK,0,,1969-12-31,201739
265,US.ASB,Associated Banc-Corp,1,STOCK,0,,1969-12-31,210656
266,US.ASB-C,"ASB存托凭证,1/40th ownership interest in a share of 6.125% 永久非累积优先股",1,STOCK,0,,1969-12-31,75213467500477
267,US.ASB-D,"ASB存托凭证,1/40th interest in a share of ASB 5.375% 永久非累积优先股, Seri",1,STOCK,0,,1969-12-31,75213467500554
268,US.ASG,"Liberty All-Star Growth Fund, Inc.",1,STOCK,0,,1969-12-31,202056
269,US.ASGN,盎塞,1,STOCK,0,,1969-12-31,205945
270,US.ASH,Ashland Global Holdings Inc.,1,STOCK,0,,1969-12-31,202406
271,US.ASH*,Ashland Global Holdings Inc,1,STOCK,0,,1969-12-31,74251394826439
272,US.ASIX,AdvanSix Inc.,1,STOCK,0,,2016-09-14,73340861758618
273,US.ASM,Avino Silver & Gold Mines Ltd.,1,STOCK,0,,1969-12-31,208852
274,US.ASPN,"Aspen Aerogels, Inc.",1,STOCK,0,,1969-12-31,210128
275,US.ASR,Grupo Aeroportuario del Sureste,1,STOCK,0,,1969-12-31,202900
276,US.AST,"Asterias Biotherapeutics, Inc.",1,STOCK,0,,1969-12-31,210460
277,US.ASX,日月光半導體,1,STOCK,0,,2000-10-01,202432
278,US.ASX*,"ASE Industrial Holding Co, Ltd.",1,STOCK,0,,1969-12-31,75754633382150
279,US.AT,Atlantic Power Corp,1,STOCK,0,,1969-12-31,207641
280,US.ATEN,"A10 Networks, Inc.",1,STOCK,0,,1969-12-31,201252
281,US.ATGE,"Adtalem Global Education, Inc.",1,STOCK,0,,1969-12-31,74341589139715
282,US.ATH,Athene Holding Ltd.,1,STOCK,0,,2016-12-08,212386
283,US.ATHM,汽車之家,1,STOCK,0,,2013-12-10,201303
284,US.ATI,阿利根尼,1,STOCK,0,,1969-12-31,203225
285,US.ATKR,ATKORE INTERNATIONAL GROUP INC.,1,STOCK,0,,2016-06-09,211877
286,US.ATNM,"Actinium Pharmaceuticals, Inc.",1,STOCK,0,,1969-12-31,207769
287,US.ATO,ATMOS能源公司,1,STOCK,0,,1969-12-31,203143
288,US.ATR,Aptar,1,STOCK,0,,1969-12-31,202226
289,US.ATTO,Atento SA,1,STOCK,0,,1969-12-31,210422
290,US.ATU,實用動力,1,STOCK,0,,1969-12-31,201204
291,US.ATUS,"Altice USA, Inc.",1,STOCK,0,,2017-06-21,74427488485856
292,US.ATUS*,Altice USA Inc.,1,STOCK,0,,1969-12-31,75909252204892
293,US.ATV,橡果國際,1,STOCK,0,,2007-05-02,206215
294,US.ATW,Atwood海洋工程公司,1,STOCK,0,,1969-12-31,202528
295,US.AU,AngloGold Ashanti Ltd.,1,STOCK,0,,1969-12-31,201216
296,US.AUG,"Auryn Resources, Inc.",1,STOCK,0,,1969-12-31,74573517374018
297,US.AUMN,黃金礦業公司,1,STOCK,0,,1969-12-31,209066
298,US.AUO,友達光電,1,STOCK,0,,2002-05-27,202665
299,US.AUY,"Yamana Gold, Inc.",1,STOCK,0,,1969-12-31,202367
300,US.AV,英傑華保險 (已退市),1,STOCK,0,,1969-12-31,206431
301,US.AVA,阿維斯塔,1,STOCK,0,,1969-12-31,203108
302,US.AVAL,Grupo Aval Acciones y Valores SA,1,STOCK,0,,1969-12-31,210397
303,US.AVB,阿灣物產,1,STOCK,0,,1969-12-31,202842
304,US.AVD,美國先鋒公司,1,STOCK,0,,1969-12-31,203223
305,US.AVH,哥倫比亞航空,1,STOCK,0,,1969-12-31,206645
306,US.AVI,Advantage Insurance,1,STOCK,0,,2017-12-19,75179107763933
307,US.AVK,Advent Claymore Convertible Securities & Income Fund,1,STOCK,0,,1969-12-31,202791
308,US.AVLR,"Avalara, Inc.",1,STOCK,0,,2018-06-13,75960791812496
309,US.AVNS,AVANOS MEDICAL INC,1,STOCK,0,,1969-12-31,76076755929582
310,US.AVP,雅芳,1,STOCK,0,,1969-12-31,205417
311,US.AVT,安富利電子,1,STOCK,0,,1969-12-31,202063
